2026-02-01 19:30:18 | INFO | __main__:test_gatekeeper:12 | === Testing Gatekeeper ===
2026-02-01 19:30:22 | INFO | architecture.reflector:__init__:256 | Reflector initialized (max_retries=3)
2026-02-01 19:30:22 | INFO | main:__init__:61 | IASCIS initialized (workspace=C:\Users\tejas\Desktop\Tests\repo_to_tool\agentic_system\workspace)
2026-02-01 19:30:22 | WARNING | architecture.gatekeeper:validate:272 | Validation failed: ["Banned method: 'os.system()'", "Banned call: 'eval()'", "[STRICT] Risky import: 'subprocess'", "[STRICT] Risky method: 'subprocess.Popen()'"]
2026-02-01 19:30:22 | INFO | __main__:test_integration:96 | Dangerous code validation: BLOCKED
2026-02-01 19:30:22 | INFO | __main__:test_integration:99 | Violations found: 4
2026-02-01 19:30:22 | WARNING | __main__:test_integration:101 |   - Banned method: 'os.system()'
2026-02-01 19:30:22 | WARNING | __main__:test_integration:101 |   - Banned call: 'eval()'
2026-02-01 19:30:22 | WARNING | __main__:test_integration:101 |   - [STRICT] Risky import: 'subprocess'
2026-02-01 19:30:22 | INFO | __main__:test_integration:103 | Integration testing complete

